Title,Properties
Sintong Panjaitan,"{'name': 'Sintong Panjaitan', 'image': 'Danjen Kopassus Sintong Panjaitan.jpg', 'caption': 'Sintong Panjaitan, 1985', 'office2': 'Komandan Jenderal Komando Pasukan Khusus', 'order2': 'ke-10', 'term_start2': 'Mei 1985', 'term_end2': 'Agustus 1987', 'predecessor2': 'Wismoyo Arismunandar', 'successor2': 'Kuntara', 'office1': 'Panglima Komando Daerah Militer IX/Udayana ke-13', 'term_start1': '12 Agustus 1988', 'term_end1': '1 Januari 1992', 'predecessor1': 'Djoko Pramono', 'successor1': 'HBL Mantiri', 'birth_name': 'Sintong Hamonangan Panjaitan', 'birth_place': 'Tarutung, Sumatera, Hindia Belanda', 'death_date': '< !--  -- >', 'serviceyears': '1963—1991', 'servicenumber': '19294', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri (Kopassus)', 'battles': 'Operasi Dwikora < br/ > Operasi Seroja', 'nationality': 'Indonesia', 'spouse': 'Lentina Napitupulu', 'residence': 'Jakarta', 'alma_mater': 'Akademi Militer Nasional (1963)', 'occupation': 'TNI (Purnawirawan)', 'religion': 'Kristen Protestan'}"
Toyib Hadiwijaya,"{'honorific-prefix': 'Prof. Dr. Ir. H.', 'native_name': 'ᮒ᮪ᮠᮧᮚᮤᮘ᮪ ᮠᮓᮤᮝᮤᮓ᮪ᮏᮏ', 'image': 'Indonesia Ambassador to Belgium Tojib Hadiwidjaja.jpg', 'caption': 'Potret sebagai Duta Besar Indonesia untuk Belgia (1964)', 'office': 'Menteri Pertanian Indonesia', 'order': 'ke-16', 'term_start': '6 Juni 1968', 'term_end': '29 Maret 1978', 'president': 'Soeharto', 'predecessor': 'Sutjipto', 'successor': 'Soedarsono Hadisapoetro', 'office1': 'Menteri Perkebunan Indonesia ke-3', 'term_start1': '14 Oktober 1967', 'term_end1': '6 Juni 1968', 'president1': 'Soeharto', 'predecessor1': 'Sutjipto', 'successor1': 'Tidak Ada', 'office2': 'Duta Besar Indonesia untuk Belgia', 'order2': 'ke-5', 'term_start2': '1964', 'term_end2': '1966', 'president2': 'Soekarno', 'predecessor2': 'Laili Roesad', 'successor2': 'Aboeprajitno', 'office3': 'Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia', 'order3': 'ke-2', 'term_start3': '6 Maret 1962', 'term_end3': '27 Agustus 1964', 'president3': 'Soekarno', 'predecessor3': 'Iwa Kusumasumantri', 'successor3': 'Syarief Thayeb', 'birth_place': 'Sukahurip, Cihaurbeuti, Ciamis, Jawa Barat, Indonesia', 'death_place': 'Bogor, Jawa Barat, Indonesia', 'nationality': 'Indonesia', 'party': 'Independen', 'alma_mater': 'Institut Pertanian BogorUniversitas Indonesia', 'occupation': 'Pakar Pertanian', 'religion': 'Islam'}"
Soedarsono Hadisapoetro,"{'image': 'Soedarsono Hadisapoetro.jpg', 'office': 'Daftar Menteri Pertanian Republik Indonesia  Menteri Pertanian', 'order': 'ke-17', 'term_start': '29 Maret 1978', 'term_end': '19 Maret 1983', 'president': 'Soeharto', 'predecessor': 'Thoyib Hadiwidjaja', 'successor': 'Achmad Affandi', 'birth_place': 'Surakarta, Jawa Tengah, Indonesia', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Sendang Lestari', 'relations': 'Ananda Syahendar Perdana (cucu)', 'alma_mater': 'Universitas Gadjah Mada'}"
Sutami,"{'name': 'Sutami', 'image': 'Sutami 2003 Indonesia stamp.jpg', 'imagesize': '260px', 'office': 'Menteri Pekerjaan Umum Indonesia ke-16', 'term_start': '22 Februari 1966', 'term_end': '17 Oktober 1967', 'president': 'Soekarno', 'predecessor': 'Soeprajogi', 'term_start2': '17 Oktober 1967', 'term_end2': '29 Maret 1978', 'president2': 'Soeharto', 'successor2': 'Purnomosidi Hadjisarosa', 'birth_place': 'Surakarta, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia'}"
Soerjadi (hakim),"{'honorific-prefix': 'Yang Mulia Mr.', 'name': 'Soerjadi', 'image': 'Soerjadi.jpg', 'caption': 'Potret Soerjadi sebagai Ketua Mahkamah Agung', 'office': 'Ketua Mahkamah Agung Republik Indonesia', 'order': 'ke-3', 'term_start': '21 Juni 1966', 'term_end': 'Agustus 1968', 'appointer': 'Soekarno', 'predecessor': 'Wirjono Prodjodikoro', 'successor': 'Soebekti', 'nationality': 'Indonesia', 'occupation': 'hakim'}"
Kemal Idris,"{'honorific-prefix': 'Letnan Jenderal TNI (Purn.)', 'name': 'Kemal Idris', 'birth_place': 'Singaraja, Bali, Hindia Belanda', 'death_place': 'Jakarta', 'serviceyears': '1942-1972', 'servicenumber': '13094', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri', 'spouse': 'Ny. Herwinoer Bandriani Singgih', 'children': '1. Ferry Idris < br / > 2. Ade Idris < br / > 3. Indra Idris'}"
M. Sarbini,"{'honorific-prefix': 'Jenderal TNI (Anumerta)', 'image': 'Mayjen TNI M. Sarbini.jpg', 'caption': 'M. Sarbini dengan pangkat Mayor Jenderal, 1966', 'office': 'Ketua Kwartir Nasional Gerakan Pramuka', 'order': 'ke-2', 'term_start': '27 November 1974', 'term_end': '21 Agustus 1977', 'president': 'Soeharto', 'predecessor': 'Hamengkubuwana IX', 'successor': 'Mashudi', 'office3': 'Menteri Koordinator Pertahanan Keamanan Indonesia', 'order3': 'ke-12', 'term_start3': '24 Februari 1966', 'term_end3': '28 Agustus 1966', 'president3': 'Soekarno', 'predecessor3': 'A. H. Nasution', 'successor3': 'Soeharto', 'office2': 'Menteri Transmigrasi dan Koperasi Indonesia', 'order2': 'ke-5', 'term_start2': '17 Oktober 1967', 'term_end2': '11 September 1971', 'president2': 'Soeharto', 'predecessor2': 'Sujono Suparto', 'successor2': 'Radius Prawiro', 'office4': 'Menteri Veteran dan Demobilisasi Indonesia', 'order4': 'ke-5', 'term_start4': '27 Agustus 1964', 'term_end4': '22 Februari 1966', 'president4': 'Soekarno', 'predecessor4': 'Sambas Atmadinata', 'successor4': 'Basuki Rahmat', 'term_start5': '31 Maret 1966', 'term_end5': '11 Oktober 1967', 'president5': 'Soekarno < br > Soeharto', 'predecessor5': 'Basuki Rahmat', 'successor5': 'Jabatan dialihkan', 'birth_place': 'Indrosari, Buluspesantren, Kebumen, Jawa Tengah, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'serviceyears': '1942–1971', 'rank': '25px Jenderal TNI', 'branch': '25px PETA25px TNI Angkatan Darat', 'unit': 'Infanteri', 'nationality': 'Indonesia', 'party': 'Independen (1942-1977)', 'father': 'M. Martoredjo', 'mother': 'Sukinah', 'spouse': 'Ny. Salami binti R. Sastrowihardjo', 'children': 'Saryanto Sarbini', 'residence': 'Menteng, Jakarta', 'alma_mater': 'Akademi Militer', 'occupation': 'TNI', 'blank1': 'Agama', 'data1': 'Islam', 'signature': '20 tahun G.K.B.I (page 21 crop).jpg', 'allegiance': '(1942–45) (1945–71)', 'battles': 'Perang Kemerdekaan Indonesia'}"
Muhammad Dahlan,"{'image': 'Muhammad Dahlan.jpg', 'office': 'Menteri Agama Indonesia', 'order': 'Ke-11', 'term_start': '17 Oktober 1967', 'term_end': '11 September 1971', 'president': 'Soeharto', 'predecessor': 'KH. Saifuddin Zuhri', 'successor': 'Prof.Dr.H.A. Mukti Ali', 'birth_place': 'Pasuruan, Keresidenan Pasuruan, Hindia Belanda', 'death_place': 'Indonesia', 'nationality': 'Indonesia', 'party': 'NU', 'religion': 'Islam'}"
Amir Murtono,"{'name': 'Amir Murtono', 'image': 'Amir Murtono, Memperkenalkan Anggota-Anggota DPR Hasil Pemilu 1982, p148.jpg', 'order': 'ke-3', 'office': 'Ketua Umum Partai Golkar', 'term_start': '1973', 'term_end': '1983', 'predecessor': 'Suprapto Sukowati', 'successor': 'Sudharmono', 'birth_date': '7 Juli 1924', 'birth_place': 'Kertosono, Nganjuk, Jawa Timur', 'nationality': 'Indonesia', 'death_date': '2021 (umur 96–97)', 'spouse': 'Naniek Kusmani', 'rank': '25px Mayor Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri', 'allegiance': 'Indonesia'}"
Bambang Trihatmodjo,"{'name': 'Bambang Trihatmodjo Soeharto', 'image': '< !--Bambang Trihatmodjo Soeharto.jpg-- >', 'office1': 'Anggota MPR RI Fraksi Golkar', 'term_start1': '1 Oktober 1992', 'term_end1': '21 Mei 1998', 'office2': 'Direktur Utama Bimantara Citra', 'term_start2': '1981', 'term_end2': '1998', 'predecessor2': 'jabatan baru', 'successor2': ""M. Tachril Sapi'ie"", 'birth_place': 'Surakarta, Jawa Tengah', 'citizenship': 'Indonesia', 'occupation': 'Pengusaha', 'party': 'Golongan Karya (sampai 1998) < br > Partai Berkarya (sejak 2018)', 'father': 'Soeharto', 'mother': 'Siti Hartinah', 'spouse': '< !-- Perubahan tanpa rujukan/referensi di kolom ini, akan di tolak/dikembalikan/hapus -- > \n * \n * < ref >  < /ref >', 'children': 'Pernikahan dengan Halimah Agustina:  < br > Gendis Siti Hatmanti Soeharto < br > Panji Adhikumoro Soeharto < br > Bambang Aditya Trihatmanto Soeharto < br >  Pernikahan dengan Mayangsari:  < br > Khirani Siti Hartina Trihatmodjo Soeharto'}"
Sigit Harjojudanto,"{'name': 'Sigit Harjojudanto', 'image': 'Berkas:Sigit Hardjojudanto Beskap Jawa 1988.jpg', 'birth_place': 'Surakarta, Jawa Tengah', 'residence': 'Indonesia', 'citizenship': 'Indonesia', 'occupation': 'Pengusaha', 'party': 'Partai Berkarya (sejak 2018)', 'children': 'Ari Sigit  < br >  Aryo Seto  < br >  Eno Sigit'}"
Amran YS,"{'name': 'Amran YS', 'imagesize': '234px', 'birth_date': '< !---- >', 'birth_place': '< !---- >', 'death_date': '< !--  (tanggal meninggal diikuti tanggal lahir) -- >', 'nationality': 'Indonesia', 'occupation': 'Aktivis, politisi', 'known_for': '- Wakil Ketua DPW PAN Sumatera Utara < br > - Tokoh sepak bola nasional', 'religion': 'Islam'}"
Mohammad Zamroni,"{'honorific prefix': 'Drs. H.', 'image': 'Zamroni.jpg', '1': 'jmpl', '2': '200px', '3': 'Mohammad Zamroni', 'office': 'Ketua Umum Pergerakan Mahasiswa Islam Indonesia Pusat', 'order': 'Ke-2', 'term_start': '1967', 'term_end': '1973', 'predecessor': 'Mahbub Djunaidi', 'successor': 'Abduh Paddare', 'birth_place': 'Tanjungsari, Sumedang, Jawa Barat', 'death_place': 'RS Fatmawati, Jakarta Selatan ,Indonesia', 'resting_place': 'TPU Tanah Kusir'}"
Setya Novanto,"{'honorific-prefix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'honorific-suffix': '< !-- Hanya gelar kehormatan/kenegaraan (non-akademis) -- >', 'name': 'Setya Novanto', 'image': 'Setya Novanto, Ketua DPR RI.jpg', 'office': 'Ketua Dewan Perwakilan Rakyat', 'order': 'ke-16', 'term_start': '30 November 2016', 'term_end': '11 Desember 2017', 'predecessor': 'Ade Komarudin', 'president': 'Joko Widodo', 'successor': 'Fadli Zon (Pelaksana Tugas) < br > Bambang Soesatyo', 'lieutenant': 'Fadli Zon < br/ > Agus Hermanto < br/ > Taufik Kurniawan < br/ > Fahri Hamzah', 'term_start1': '2 Oktober 2014', 'term_end1': '16 Desember 2015', 'president1': 'Susilo Bambang Yudhoyono  < br / >  Joko Widodo', 'predecessor1': 'Marzuki Alie', 'successor1': 'Ade Komarudin', 'office2': 'Ketua Umum Partai Golongan Karya', 'order2': 'ke-10', 'term_start2': '17 Mei 2016', 'term_end2': '13 Desember 2017', 'predecessor2': 'Aburizal Bakrie', 'successor2': 'Airlangga Hartarto', 'office3': 'Anggota Dewan Perwakilan Rakyat Republik Indonesia', 'term_start3': '1 Oktober 1999', 'term_end3': '11 Desember 2017', 'constituency3': 'Timor Timur < ref > Anggota DPR-RI 1999-2004, diakses 29 Desember 2021. < /ref > < br > < small > (1999—2004) < /small > < ref > https://id.quora.com/Timor-Timur-lepas-dari-Indonesia-pada-Oktober-1999-Apakah-ini-memengaruhi-posisi-anggota-DPR-periode-1999-2004-yang-berasal-dari-daerah-pemilihan-Timor-Timur?ch=10 & oid=32927070 & share=06f96207 & srid=ewB6U & target_type=question < /ref > < br > Nusa Tenggara Timur II < br > < small > (2004—2017) < /small >', 'predecessor3': '< !-- kalau mengganti di tengah jabatan -- >', 'successor3': 'Imanuel Ekadianus Blegur', 'birth_date': '< ref name= "" merdeka.com 1 "" >  < /ref >', 'birth_place': 'Bandung, Jawa Barat, Indonesia < ref name= "" merdeka.com 1 "" / >', 'party': 'Partai Golongan Karya', 'spouse': 'Luciana Lily Herliyanti  < br >  Deisti Astriani Tagor, S.H.', 'relations': '< !-- Nama keluarga; termasuk hanya jika subjek secara independen sudah terkenal atau sangat relevan; bila ada rujukan/referensi, uraikan pada artikel -- >', 'children': '< !-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -- > Pernikahan dengan Luciana Lily Herliyanti: 2 < br > Pernikahan dengan Deisti Astriani Tagor: 2', 'occupation': 'Politisi', 'alma_mater': 'Universitas Katolik Widya Mandala Surabaya < br/ > Universitas Trisakti', 'religion': '< !-- Kosongkan bagian ini; kolom terkait Suku, Agama dan Ras telah dinonaktifkan -- >'}"
Mohammad Syafa'at Mintaredja,"{'office1': 'Menteri Negara Penyelenggaraan Hubungan antara Pemerintah dengan MPR, DPR-GR, dan DPA', 'term_start1': '6 Juni 1968', 'term_end1': '9 September 1971', 'president1': 'Soeharto', 'predecessor1': 'Tidak Ada', 'successor1': 'Jabatan Baru', 'office': 'Menteri Sosial Indonesia', 'order': 'ke-18', 'term_start': '9 September 1971', 'term_end': '29 Maret 1978', 'president': 'Soeharto', 'predecessor': 'Albert Mangaratua Tambunan', 'successor': 'Supardjo', 'office3': 'Ketua Umum Partai Persatuan Pembangunan', 'order3': 'ke-1', 'term_start3': '1973', 'term_end3': '1978', 'president3': 'Soeharto', 'successor3': 'Djaelani Naro', 'name': 'Mohammad Syafaat Mintaredja', 'image': 'Mohammad Syafaat Mintaredja.jpg', 'caption': 'Mohammad Syafaat Mintaredja', 'religion': 'Islam', 'nationality': 'Indonesia', 'birth_place': 'Bogor, Jawa Barat, Indonesia', 'death_place': 'Jakarta, Indonesia', 'spouse': 'Siti Romlah', 'children': 'Evac S Mintaredja'}"
Harsono Tjokroaminoto,"{'image': 'Harsono Tjokroaminoto, Pekan Buku Indonesia 1954, p247.jpg', 'ambassador_from': 'Indonesia', 'country': 'Swiss', 'term_start': 'Maret 1972', 'term_end': 'Maret 1975', 'president': 'Soeharto', 'predecessor': 'Mappa Oudang', 'successor': 'Tjokorde Ngurah Will Sukawati', 'office1': 'Menteri Negara Bidang Penyempurnaan dan Pembersihan Aparatur Negara Indonesia', 'order1': 'ke-1', 'term_start1': '10 Juni 1968', 'term_end1': '11 September 1971', 'president1': 'Soeharto', 'predecessor1': 'Tidak Ada', 'successor1': 'Emil Salim', 'office2': 'Wakil Perdana Menteri Indonesia', 'order2': 'ke-9', 'premier2': 'Burhanuddin Harahap', 'co-leader2': 'Djanoe Ismadi', 'term_start2': '12 Agustus 1955', 'term_end2': '24 Maret 1956', 'president2': 'Soekarno', 'predecessor2': 'Zainul Arifin < br/ > Wongsonegoro', 'successor2': 'Mohamad Roem < br / >  Idham Chalid', 'birth_place': 'Madiun, Hindia Belanda', 'death_place': 'Jakarta, Indonesia', 'party': 'PSII', 'father': 'H.O.S. Tjokroaminoto', 'relatives': '< br >   M.S. Hidayat (menantu)'}"
Suhardiman,"{'name': 'Suhardiman', 'image': 'Suhardiman.jpg', 'imagesize': '230px', 'caption': 'Suhardiman, Pendiri Sentral Organisasi Karyawan Seluruh Indonesia', 'birth_place': 'Surakarta, Jawa Tengah', 'death_place': 'Jakarta', 'allegiance': 'Indonesia', 'rank': '25px Mayor Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'battles': 'Revolusi Nasional Indonesia', 'spouse': 'Sapartinah'}"
Witarmin,"{'honorific-prefix': '< small > Letnan Jenderal TNI (Purn.) < /small >', 'image': 'Witarmin.jpg', 'office': 'Komandan Jenderal Komando Pasukan Khusus', 'birth_place': 'tepi|link=Hindia Belanda|22px Kertosono, Nganjuk, Jawa Timur, Indonesia', 'death_place': 'Surabaya, Jawa Timur, Indonesia', 'serviceyears': '1942 - 1983', 'rank': '25px Letnan Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri (Kopassandha)', 'spouse': 'Ny. Suratmi', 'children': '1. Nunuk Indrinuswati < br / > 2. Wiwiek Dwi Judajati < br / > 3. Anik Umi Heriyani < br / > 4. Sudiono', 'order': 'ke-7', 'term_start': '1970', 'term_end': '1975', 'predecessor': 'Brigjen TNI Widjoyo Suyono', 'successor': 'Brigjen TNI Yogie Suardi Memet'}"
Osa Maliki Wangsadinata,"{'name': 'Osa Maliki Wangsadinata', 'image': 'Osa Maliki, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p75.jpg', 'birth_place': 'Padalarang, Bandung Barat', 'death_place': 'Semarang, Jawa Tengah', 'resting_place': 'TMP Cikutra, Bandung, Jawa Barat', 'nationality': 'Indonesia', 'known_for': 'Anggota  Dewan Perwakilan Rakyat Republik Indonesia  < br/ >  Ketua Partai Nasional Indonesia Osa-Usep  < br/ >  Digulis', 'religion': 'Islam', 'party': '20px Partai Nasional Indonesia'}"
Sunawar Sukowati,"{'name': 'Sunawar Sukowati', 'image': 'Sunawar Sukowati.jpg', 'office': 'Menteri Negara Bidang Pengawasan Proyek-proyek Pemerintah Indonesia', 'order': 'ke-1', 'president': 'Soeharto', 'term_start': '10 Juni 1968', 'term_end': '9 September 1971', 'successor': 'Widjojo Nitisastro', 'office1': 'Menteri Negara Kesejahteraan Rakyat Indonesia', 'order1': 'ke-5', 'president1': 'Soeharto', 'term_start1': '28 Maret 1973', 'term_end1': '29 Maret 1978', 'predecessor1': 'Idham Chalid', 'successor1': 'Surono Reksodimedjo', 'office2': 'Ketua Umum Partai Demokrasi Indonesia', 'term_start2': '16 Oktober 1980', 'term_end2': '12 Januari 1986', 'predecessor2': 'Sanusi Hardjadinata', 'successor2': 'Soerjadi', 'birth_place': 'Solo, Jawa Tengah, Hindia Belanda', 'death_place': 'Bogor, Jawa Barat, Indonesia', 'party': 'Partai Demokrasi Indonesia  < br >  Partai Nasional Indonesia', 'children': 'Edwin Sunawar Sukowati', 'alma_mater': 'Universitas Gadjah Mada < br > Universitas Padjadjaran', 'occupation': 'Pengacara'}"
Rusli Noor,"{'name': 'Rusli Noor', 'image': 'Indonesia Ambassador to Belgium Gusti Roesli Noor.jpg', 'office': 'Sekretaris Jenderal ASEAN ke-8', 'term_start': '17 Juli 1989', 'term_end': '1 Januari 1993', 'successor': 'Ajit Singh', 'birth_place': 'Bandung, Hindia Belanda (sekarang Indonesia)', 'alma_mater': 'Universitas Columbia', 'profession': 'Diplomat \n < !--', 'religion': 'Islam-- >', 'nationality': 'Indonesia'}"
Soegiarto (militer),"{'name': 'Soegiarto', 'image': 'Wali_Kota_Jogja,_Soegiarto.jpg', 'caption': 'Soegiarto saat menjabat Wali kota Yogyakarta', 'birth_date': '< !---- >', 'birth_place': '< !--   -- >', 'death_date': '< !--  -- >', 'rank': '25px Mayor Jenderal TNI', 'branch': '25px TNI Angkatan Darat', 'unit': 'Infanteri (Kopassandha)', 'office1': 'Wali Kota Yogyakarta', 'status': '< !--If this is specified, overrides Incumbent.-- >', 'term_start1': '1981', 'term_end1': '1986', 'governor1': 'Hamengkubuwana IX', 'predecessor1': 'H. Ahmad', 'successor1': 'Djatmikanto Danumartono'}"
Endang Kusuma Inten Soeweno,"{'name': 'Endang Kusuma Inten Soeweno', 'image': 'Sixth Development Cabinet Poster (Endang Kusuma Inten Soeweno).jpg', 'office': 'Menteri Sosial Indonesia', 'order': 'ke-22', 'president': 'Soeharto', 'term_start': '17 Maret 1993', 'term_end': '14 Maret 1998', 'predecessor': 'Haryati Soebadio', 'successor': 'Siti Hardijanti Rukmana', 'birth_place': 'Tulungagung, Jawa Timur, Hindia Belanda', 'nationality': 'Indonesia', 'relations': 'Brigjen TNI (Purn.) dr. H. Koesen Hirohoesodo (Ayah)', 'spouse': 'Letjen TNI (Purn.) Soeweno', 'occupation': 'Politisi', 'religion': 'Islam'}"
Adhyatma,"{'name': 'Adhyatma', 'image': 'Adhyatma - Fifth Development Cabinet.jpg', 'imagesize': '200px', 'office': 'Menteri Kesehatan Indonesia', 'order': 'ke-11', 'president': 'Soeharto', 'term_start': '23 Maret 1988', 'term_end': '11 Maret 1993', 'predecessor': 'Suwardjono Surjaningrat', 'successor': 'Sujudi', 'birth_date': '25 Mei 1932', 'birth_place': 'Semarang, Jawa Tengah, Hindia Belanda', 'death_date': '2 Desember 1999 (umur 67)', 'death_place': 'Jakarta, Indonesia', 'nationality': 'Indonesia', 'spouse': 'Siti Fatimah', 'children': '< !-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -- > 3', 'occupation': 'Dokter \n < !-- Unknown parametr', 'religion': 'Islam -- >'}"
Nasrudin Sumintapura,"{'name': 'Nasrudin Sumintapura', 'image': 'Nasrudin Sumintapura - Fifth Development Cabinet.jpg', 'imagesize': '200px', 'office': 'Daftar Wakil Menteri Keuangan Indonesia  Menteri Muda Keuangan', 'order': 'Ke-5', 'president': 'Soeharto', 'term_start': '23 Maret 1988', 'term_end': '11 Maret 1993', 'predecessor': 'Notohamiprodjo', 'successor': 'Anny Ratnawati', 'birth_place': 'Jakarta, DKI Jakarta, Hindia Belanda', 'death_place': 'Jakarta, DKI Jakarta, Indonesia', 'nationality': 'Indonesia', 'alma_mater': 'Universitas Indonesia', 'religion': 'Islam'}"
Bernardus Sugiarta Muljana,"{'name': 'Bernardus Sugiharta Muljana', 'image': 'Bernardus Sugiarta Muljana - Fifth Development Cabinet.jpg', 'imagesize': '200px', 'office': 'Daftar Wakil Menteri Perencanaan Pembangunan Nasional Indonesia  Menteri Muda Perencanaan Pembangunan Nasional', 'order': 'ke-1', 'president': 'Soeharto', 'term_start': '23 Maret 1988', 'term_end': '11 Maret 1993', 'predecessor': 'tidak ada, jabatan baru', 'successor': 'Lukita Dinarsyah Tuwo', 'birth_place': 'Yogyakarta, DI Yogyakarta, Hindia Belanda', 'death_place': 'Jakarta, DKI Jakarta, Indonesia', 'nationality': 'Indonesia', 'alma_mater': 'Universitas Indonesia', 'religion': 'Katolik'}"
Sapardjo,"{'honorific-prefix': '< small > Mayjen TNI < /small >', 'image': '< !--Sapardjo.jpg-- >', 'office': 'Menteri Sosial Indonesia', 'order': 'ke-19', 'term_start': '31 Maret 1978', 'term_end': '19 Maret 1983', 'president': 'Soeharto', 'predecessor': ""Mohammad Syafa'at Mintaredja"", 'successor': 'Nani Soedarsono', 'birth_place': 'Yogyakarta, DI Yogyakarta, Hindia Belanda', 'death_place': 'Yogyakarta, Indonesia', 'party': 'Golongan Karya', 'spouse': 'Endang Suparti', 'children': 'Bambang Purwanto'}"
Sugiyono (politikus),"{'name': 'Sugiyono', 'imagesize': '210px', 'office': 'Wakil Gubernur Papua', 'order': 'ke-5', 'term_start': '1983', 'term_end': '1987', 'president': 'Soeharto', 'governor': 'Izaac Hindom', 'predecessor': 'Izaac Hindom', 'successor': 'Poedjono Pranyoto', 'office2': 'Wali Kota Malang', 'order2': 'ke-10', 'term_start2': '19 Juni 1973', 'term_end2': '1983', 'president2': 'Soeharto', 'governor2': 'R.P. Mohammad Noer < br > Soenandar Prijosoedarmo', 'predecessor2': 'Indra Soedarmadji', 'successor2': 'Soeprapto', 'birth_place': 'Blitar, Jawa Timur, Indonesia', 'death_place': 'Malang, Jawa Timur, Indonesia', 'nationality': '< !-- Hanya untuk warga negara asing -- >', 'party': '(1988-2004)', 'spouse': 'Egni Rumambi', 'relations': '< !-- Nama keluarga; termasuk hanya jika subjek secara independen sudah terkenal atau sangat relevan; bila ada rujukan/referensi, uraikan pada artikel -- >', 'children': '< !-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -- > 5, termasuk Eddy Rumpoko', 'religion': '< !-- Kosongkan bagian ini; kolom terkait Suku, Agama dan Ras telah dinonaktifkan -- >'}"
Ipik Asmasoebrata,"{'honorific-prefix': 'H.', 'name': 'Ipik Asmasoebrata', 'office': 'Anggota Dewan Perwakilan Rakyat Republik Indonesia', 'term_start': '1 Oktober 1982', 'term_end': '1 Oktober 1992', 'constituency': 'Daerah Khusus Ibukota Jakarta', 'predecessor': '< !-- kalau menggantikan di tengah jabatan -- >', 'successor': '< !-- kalau digantikan di tengah jabatan -- >', 'office2': 'Anggota Majelis Permusyawaratan Rakyat', 'term_start2': '1980', 'term_end2': 'Oktober 1982', 'constituency2': 'Daerah Khusus Ibukota Jakarta', 'predecessor2': 'dr.H.R. Soewondo', 'successor2': 'Tidak diketahui', 'birth_place': 'Tanjungsari, Sumedang, Jawa Barat', 'death_place': 'Jakarta,Indonesia', 'resting_place': 'Tanjungsari, Sumedang', 'nationality': 'Indonesia', 'known_for': ""Anggota DPR RI  < br/ >  Pejuang Angkatan '45  < br/ >  Ketua KONI  < br/ >  Pengurus Pordasi  < br/ >  Pemilik Pabrik Rokok Nasional  Tanjungsari  < br/ >  Perintis Pacuan Kuda  Tanjungsari"", 'religion': 'Islam', 'children': 'Dadang Suryadi  < br >  Alex Asmasoebrata  < br >  Ferry Asmasoebrata  < br >  Neneng Amalia Dendawacana', 'relatives': 'Ramon Papana  < br >  Dylan Sada (cucu)  < br >  Alexandra Asmasoebrata (cucu)', 'party': 'Partai Nasional Indonesia < br > Partai Demokrasi Indonesia', 'occupation': 'Pengusaha  < br/ >  Politikus'}"
Yogi Supardi,"{'honorific-prefix': '< small > Letnan Jenderal TNI (Purn.) < /small >', 'name': 'Yogi Supardi', 'image': 'Ignatius Yogi Supardi.jpg', 'office': 'Komandan Seskoad l ke-11', 'term_start': '1974', 'term_end': '1976', 'predecessor': 'Mayjen TNI Sutanto Wiryoprasonto', 'successor': 'Mayjen TNI E.W.P. Tambunan', 'birth_place': 'Klaten, Jawa Tengah', 'death_place': '(RSPAD) Gatot Soebroto, Jakarta Pusat, Indonesia', 'nationality': 'Indonesia', 'branch': '25px TNI Angkatan Darat', 'serviceyears': '1948-1983', 'rank': '25px Letnan Jenderal TNI', 'unit': 'Artileri Medan', 'alma_mater': 'Militaire Academie (MA) Jogya Angkatan I (1948)'}"
