a,type,label,wiki
http://127.0.0.1:3333/TuankuTambusai,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tuanku Tambusai,
http://127.0.0.1:3333/LetnanKolonelRaaff,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Letnan Kolonel Raaff,
http://127.0.0.1:3333/TuankuPasaman,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tuanku Pasaman,
http://127.0.0.1:3333/MayorPrager,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Mayor Prager,
http://127.0.0.1:3333/LetnanKolonelKrieger,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Letnan Kolonel Krieger,
http://127.0.0.1:3333/TuankuImamBonjol,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tuanku Imam Bonjol,
http://127.0.0.1:3333/WillmsoonCartekoe,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Willmsoon Cartekoe,
http://127.0.0.1:3333/vanHasselt,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,van Hasselt,
http://127.0.0.1:3333/PemberontakantiBelanda,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pemberontak anti-Belanda,
http://127.0.0.1:3333/RajaKerajaanBangli,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Raja Kerajaan Bangli,
http://127.0.0.1:3333/BPHNatakusuma,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,BPH Natakusuma,
http://127.0.0.1:3333/HermanusWDotulong,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Hermanus W. Dotulong,
http://127.0.0.1:3333/KidoShinichir,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kido Shinichir?,
http://127.0.0.1:3333/KidoShinichir,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kido Shinichirō,
http://127.0.0.1:3333/RobertRolloGillespie,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Robert Rollo Gillespie,
http://127.0.0.1:3333/RonggoPrawirodirjoIII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Ronggo Prawirodirjo III,
http://127.0.0.1:3333/MahapatihMajapahit,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Mahapatih Majapahit,
http://127.0.0.1:3333/RajaKerajaanKarangasem,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Raja Kerajaan Karangasem,
http://127.0.0.1:3333/PangeranAryaDipanagara,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Arya Dipanagara,
http://127.0.0.1:3333/Pemberontaklainnya,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pemberontak lainnya,
http://127.0.0.1:3333/PangeranPurbaya,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Purbaya,
http://127.0.0.1:3333/Surengrana,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Surengrana,
http://127.0.0.1:3333/Parapangeranpemberontak,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Para pangeran pemberontak,
http://127.0.0.1:3333/RivalpenggugattakhtaMataram,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Rival penggugat takhta Mataram,
http://127.0.0.1:3333/PangeranBalitar,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Balitar,
http://127.0.0.1:3333/PangeranAryaMataram,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Arya Mataram,
http://127.0.0.1:3333/PangeranJagapati,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pangeran Jagapati,
http://127.0.0.1:3333/HermanWillemDaendels,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Herman Willem Daendels,
http://127.0.0.1:3333/PersekutuanDagangHindiaTimur,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Persekutuan Dagang Hindia Timur,
http://127.0.0.1:3333/NjomanGempol,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Njoman Gempol,
http://127.0.0.1:3333/RajaSunda,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Raja Sunda,
http://127.0.0.1:3333/Nambi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Nambi,
http://127.0.0.1:3333/HendrikvanSchopoff,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Hendrik van Schopoff,
http://127.0.0.1:3333/PasukanVOC,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pasukan VOC,
http://127.0.0.1:3333/Majapahittimur,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Majapahit timur,
http://127.0.0.1:3333/MaharajaLinggabuana,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Maharaja Linggabuana,
http://127.0.0.1:3333/MaharajaHayamWuruk,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Maharaja Hayam Wuruk,
http://127.0.0.1:3333/MaharajaMajapahit,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Maharaja Majapahit,
http://127.0.0.1:3333/PerusahaanHindiaTimurBritania,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Perusahaan Hindia Timur Britania,
http://127.0.0.1:3333/KRTSumadiningrat,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,KRT Sumadiningrat,
http://127.0.0.1:3333/Gaoxing,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Gaoxing,
http://127.0.0.1:3333/SultanMahmudBadaruddinII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Sultan Mahmud Badaruddin II,
http://127.0.0.1:3333/TunAbdulJamil,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tun Abdul Jamil,
http://127.0.0.1:3333/PendudukanInggrisdiJawa,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Pendudukan Inggris di Jawa,
http://127.0.0.1:3333/HugoVerijsel,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Hugo Verijsel,
http://127.0.0.1:3333/IbTakahashi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Ib? Takahashi,
http://127.0.0.1:3333/IbTakahashi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Ibō Takahashi,
http://127.0.0.1:3333/RichardPeirse,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Richard Peirse,
http://127.0.0.1:3333/ManueldeSousaCoutinho,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Manuel de Sousa Coutinho,
http://127.0.0.1:3333/KekaisaranTiongkokMongolDinastiYuan,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kekaisaran Tiongkok-Mongol ( Dinasti Yuan),
http://127.0.0.1:3333/RobertStopford,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Robert Stopford,
http://127.0.0.1:3333/KerajaanBersatuBritaniaRayadanIrlandia,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kerajaan Bersatu Britania Raya dan Irlandia,
http://127.0.0.1:3333/SamuelAuchmuty,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Samuel Auchmuty,
http://127.0.0.1:3333/drKariadi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,dr. Kariadi,
http://127.0.0.1:3333/TanJinSing,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tan Jin Sing,
http://127.0.0.1:3333/DewaAgungJambeII,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Dewa Agung Jambe II,
http://127.0.0.1:3333/EdwardTucker,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Edward Tucker,
http://127.0.0.1:3333/TumenggungPrawirodigdoyo,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Tumenggung Prawirodigdoyo,
http://127.0.0.1:3333/Shibi,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Shi-bi,
http://127.0.0.1:3333/KerajaanSinghasari,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Kerajaan Singhasari,
http://127.0.0.1:3333/GovertKnol,http://semanticweb.cs.vu.nl/2009/11/sem/Actor,Govert Knol,
http://127.0.0.1:3333/wikipediaPerangJagaraga,http://semanticweb.cs.vu.nl/2009/11/sem/View,wikipedia Perang Jagaraga,
http://127.0.0.1:3333/wikipediaHariKampanye,http://semanticweb.cs.vu.nl/2009/11/sem/View,wikipedia Hari Kampanye,
