iri,id
JoséAbílioOsórioSoares,Q710759,José Abílio Osório Soares
Sumiskum,Q12517652,Sumiskum
AbdulAzisSaleh,Q12470542,Abdul Azis Saleh
Soedjarwo,Q12515747,Soedjarwo
FranciscoGuterres,Q897790,Francisco Guterres
BambangTriantoro,Q110103086,Bambang Triantoro
Satrio,Q12512336,Satrio
NinoKonisSantana,Q1397282,Nino Konis Santana
SutantoWiryoprasonto,Q110103091,Sutanto Wiryoprasonto
AchmadSjaichu,Q65204588,Achmad Sjaichu
KellyKwalik,Q3194900,Kelly Kwalik
MohammadIsnaeni,Q12498762,Mohammad Isnaeni
IsmailSaleh,Q6084865,Ismail Saleh
TaufikKurniawan,Q12520112,Taufik Kurniawan
GatotTaroenamihardja,Q5527489,Gatot Taroenamihardja
YogaSugama,Q12525258,Yoga Soegomo
Suhardiman,Q20278528,Suhardiman
MuhammadYusufAsy'ari,Q12499394,Muhammad Yusuf Asy'ari
RoeslanAbdulgani,Q967941,Ruslan Abdulgani
Sutami,Q17411492,Sutami
AbdulHakimHarahap,Q19942211,Abdul Hakim
AbdulAzisBustam,Q109433908,Abdul Azis Bustam
MunawirSjadzali,Q12499521,Munawir Sjadzali
Mudjono,Q12499315,Mudjono
JoopAve,Q12488069,Joop Ave
PoedjonoPranyoto,Q12505909,Poedjono Pranyoto
MohammadSadli,Q1297966,Mohamad Sadli
AliSadikin,Q1393182,Ali Sadikin
MuktiAli,Q12499431,Mukti Ali
DennyIndrayana,Q12481262,Denny Indrayana
ArnoldAchmadBaramuli,Q12472506,Arnold Achmad Baramuli
AmirMurtono,Q4746616,Amir Murtono
Sudomo,Q12516527,Sudomo
SutopoJuwono,Q17410639,Sutopo Juwono
M.Jusuf,Q109727649,M. Jusuf Anang
Wondoamiseno,Q19749246,Wondoamiseno
Jatidjan,Q12487456,Jatidjan
SyamaunGaharu,Q26270156,Syamaun Gaharu
Boediardjo,Q4937086,Boediardjo
Wongsonegoro,Q3526552,Wongsonegoro
MasPardi,Q19728929,Mas Pardi
PurnomosidiHadjisarosa,Q17410552,Purnomosidi Hadjisarosa
OngEngDie,Q7093799,Ong Eng Die
EdieToetHendratno,Q109437622,Edie Toet Hendratno
TimurP.Manurung,Q97373735,Timur P. Manurung
SupraptoSukowati,Q85994764,Suprapto Sukowati
BambangUtoyo,Q12473901,Bambang Utoyo
YosSudarso,Q329452,Kolepom Island
Mashudi,Q10995103,Mashudi
EndangKusumaIntenSoeweno,Q56399199,Endang Kusuma Inten Soeweno
MahbubDjunaidi,Q56391376,Mahbub Djunaidi
BasukiRahmat,Q4202242,Basuki Rahmat
MuhammadSanusi,Q12499381,Muhammad Sanusi
SoedjonoC.Atmonegoro,Q12515749,Soedjono C. Atmonegoro
AmboEtengAmin,Q110102401,Ambo Eteng Amin
RadinalMochtar,Q12507648,Radinal Mochtar
AshariDanudirdjo,Q724830,Ashari Danudirdjo
IGustiPutuMartha,Q5977431,I Gusti Putu Martha
SlametBratanata,Q12515661,Slamet Bratanata
MohammadNazir,Q3528688,Mohammad Nazir
Suwiryo,Q12518263,Suwiryo
IbrahimAdjie,Q12486200,Ibrahim Adjie
NyakAdamKamil,Q14956786,Nyak Adam Kamil
UmarRukman,Q110102597,Umar Rukman
OmarDhani,Q2627581,Omar Dhani
Soedharmono,Q76317,Sudharmono
AlbertMangaratuaTambunan,Q24284585,Albert Mangaratua Tambunan
R.Bintoro,Q107301718,R. Bintoro
SuwardjonoSurjaningrat,Q12518256,Suwardjono Surjaningrat
Notohatyanto,Q116687938,Notohatyanto
JennyShipley,Q235996,Jenny Shipley
ChaerulSaleh,Q5068118,Chairul Saleh
WirjonoProdjodikoro,Q8026958,Wirjono Prodjodikoro
LeoLopulisa,Q17410671,Leo Lopulisa
EndangAgustiniSyarwan,Q16176076,Endang Agustini Syarwan
SoenandarPrijosoedarmo,Q12515763,Soenandar Prijosoedarmo
HariSuharto,Q12485295,Hari Suharto
JacobSalatun,Q3623692,Jacob Salatun
SetyadjitSoegondo,Q2230428,Setyadjit Soegondo
SatrioBudihardjoJoedono,Q12512338,Satrio Budihardjo Joedono
AchmadAffandi,Q85988394,Achmad Affandi
G.A.Siwabessy,Q5511990,G.A. Siwabessy
RahardiRamelan,Q12507683,Rahardi Ramelan
HasanSlamet,Q12485391,Hasan Slamet
MashuriSaleh,Q12497239,Mashuri Saleh
Ma'hunoBulerekKarathayano,Q1882171,Ma'huno Bulerek Karathayano
B.J.Habibie,Q76156,Bacharuddin Jusuf Habibie
Soekarno,Q76127,Sukarno
BritaniaRaya,Q145,United Kingdom
